episode_id,record_id,action_label,scene_id,region,regret,regret_group,failure_type,current_entropy,current_margin,current_pose_confidence,predicted_stays,safe_oracle_stays,selected_true_utility,safe_oracle_utility,candidate_count,selected_geodesic,oracle_geodesic,selected_azimuth,oracle_azimuth,candidate_viewpoint_ids,predicted_candidate_viewpoint_id,candidate_oracle_viewpoint_id
babel_val_00047_001__00006-HkseAnWCgqk__bedroom__v01,babel_val_00047_001,a pose,00006-HkseAnWCgqk,bedroom,0.000631551694823429,G0_near_optimal,A_missed_move,0.006389733351322392,0.9987442493438721,0.9037914276123047,True,False,0.0,0.000631551694823429,2,,2.1213207244873047,,-90.0,"[7, 26]",7,7
babel_val_00214_005__00006-HkseAnWCgqk__bedroom__v26,babel_val_00214_005,sit,00006-HkseAnWCgqk,bedroom,0.0336781699443236,G1_low_regret,A_missed_move,0.20129825659806933,0.9567341804504395,0.583750307559967,True,False,0.0,0.0336781699443236,2,,4.537651062011719,,-135.0,"[1, 7]",7,7
babel_val_00273_000__00006-HkseAnWCgqk__bedroom__v07,babel_val_00273_000,kick,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.001807053266151147,0.9997307658195496,0.9251863956451416,True,True,0.0,0.0,2,,,,,"[1, 26]",1,1
babel_val_00470_005__00006-HkseAnWCgqk__bedroom__v26,babel_val_00470_005,t pose,00006-HkseAnWCgqk,bedroom,0.0002156240643671481,G0_near_optimal,A_missed_move,0.0022948708199481646,0.9996219277381897,0.645429253578186,True,False,0.0,0.0002156240643671481,2,,4.537651062011719,,-135.0,"[1, 7]",1,7
babel_val_00611_001__00006-HkseAnWCgqk__bedroom__v07,babel_val_00611_001,t pose,00006-HkseAnWCgqk,bedroom,0.0007565669166069711,G0_near_optimal,A_missed_move,0.006541070641193746,0.99856036901474,0.895967423915863,True,False,0.0,0.0007565669166069711,2,,2.1213207244873047,,90.0,"[1, 26]",1,1
babel_val_00674_001__00006-HkseAnWCgqk__bedroom__v26,babel_val_00674_001,t pose,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.9103213841050999,0.27868396043777466,0.10639088600873947,False,False,9.908942352514714,9.908942352514714,2,4.537651062011719,4.537651062011719,-135.0,-135.0,"[1, 7]",7,7
babel_val_00826_002__00006-HkseAnWCgqk__bedroom__v07,babel_val_00826_002,a pose,00006-HkseAnWCgqk,bedroom,0.01868532272055745,G1_low_regret,A_missed_move,0.1228998430564259,0.9611641764640808,0.7620418667793274,True,False,0.0,0.01868532272055745,2,,2.1213207244873047,,90.0,"[1, 26]",1,1
babel_val_00826_003__00006-HkseAnWCgqk__bedroom__v26,babel_val_00826_003,a pose,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.9611551985574208,0.13647925853729248,0.8807111978530884,False,False,7.358721375465393,7.358721375465393,2,4.537651062011719,4.537651062011719,-135.0,-135.0,"[1, 7]",7,7
babel_val_00855_000__00006-HkseAnWCgqk__bedroom__v01,babel_val_00855_000,sit,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.5034713937493092,0.8653570413589478,0.8519552946090698,False,False,0.09924117103219032,0.09924117103219032,2,2.1213207244873047,2.1213207244873047,-90.0,-90.0,"[7, 26]",7,7
babel_val_00906_004__00006-HkseAnWCgqk__bedroom__v01,babel_val_00906_004,walk,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.734043994784335,0.156270369887352,0.9118694067001343,False,False,0.1650562584400177,0.1650562584400177,2,2.1213207244873047,2.1213207244873047,-90.0,-90.0,"[7, 26]",7,7
babel_val_01072_000__00006-HkseAnWCgqk__bedroom__v26,babel_val_01072_000,walk,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,1.5010656662485555,0.06440026313066483,0.5045802593231201,False,False,1.4614489898085594,1.4614489898085594,2,4.537651062011719,4.537651062011719,-135.0,-135.0,"[1, 7]",7,7
babel_val_01190_005__00006-HkseAnWCgqk__bedroom__v01,babel_val_01190_005,walk,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.05266664405756339,0.987398087978363,0.8870905637741089,False,False,0.007871845140471123,0.007871845140471123,2,2.1213207244873047,2.1213207244873047,-90.0,-90.0,"[7, 26]",7,7
babel_val_01225_002__00006-HkseAnWCgqk__bedroom__v01,babel_val_01225_002,a pose,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.0002367386612034557,0.9999600648880005,0.897015392780304,True,True,0.0,0.0,2,,,,,"[7, 26]",7,7
babel_val_01403_006__00006-HkseAnWCgqk__bedroom__v07,babel_val_01403_006,jump,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.6962017959764744,0.04228561744093895,0.739801287651062,False,False,0.6520808340264921,0.6520808340264921,2,2.1213207244873047,2.1213207244873047,90.0,90.0,"[1, 26]",1,1
babel_val_01435_006__00006-HkseAnWCgqk__bedroom__v07,babel_val_01435_006,stumble,00006-HkseAnWCgqk,bedroom,0.3569769859313965,G1_low_regret,B_unnecessary_move,0.3301930834733199,0.8738880753517151,0.8098686337471008,False,True,-0.3569769859313965,0.0,2,2.1213207244873047,,90.0,,"[1, 26]",1,1
babel_val_01456_006__00006-HkseAnWCgqk__bedroom__v07,babel_val_01456_006,lie,00006-HkseAnWCgqk,bedroom,0.33191680908203125,G1_low_regret,B_unnecessary_move,0.5352563961697838,0.732191264629364,0.8589909672737122,False,True,-0.33191680908203125,0.0,2,2.1213207244873047,,90.0,,"[1, 26]",1,1
babel_val_01456_013__00006-HkseAnWCgqk__bedroom__v01,babel_val_01456_013,t pose,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.394879851137167,0.7334781885147095,0.7505833506584167,False,False,0.1431593311499455,0.1431593311499455,2,2.1213207244873047,2.1213207244873047,-90.0,-90.0,"[7, 26]",7,7
babel_val_01486_014__00006-HkseAnWCgqk__bedroom__v26,babel_val_01486_014,stumble,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,1.2151521550657003,0.42163458466529846,0.45859506726264954,False,False,8.102869540452957,8.102869540452957,2,4.537651062011719,4.537651062011719,-135.0,-135.0,"[1, 7]",7,7
babel_val_01511_000__00006-HkseAnWCgqk__bedroom__v01,babel_val_01511_000,t pose,00006-HkseAnWCgqk,bedroom,0.00020573359756781429,G0_near_optimal,A_missed_move,0.002172423110878599,0.9996590614318848,0.7651959657669067,True,False,0.0,0.00020573359756781429,2,,2.1213207244873047,,-90.0,"[7, 26]",7,7
babel_val_01669_002__00006-HkseAnWCgqk__bedroom__v26,babel_val_01669_002,sit,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.21045525768489215,0.9453059434890747,0.1533273160457611,False,False,8.045347373845289,8.045347373845289,2,4.537651062011719,4.537651062011719,-135.0,-135.0,"[1, 7]",7,7
babel_val_02062_000__00006-HkseAnWCgqk__bedroom__v07,babel_val_02062_000,a pose,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.011245725625474878,0.9983521103858948,0.9578870534896851,True,True,0.0,0.0,2,,,,,"[1, 26]",1,26
babel_val_02062_010__00006-HkseAnWCgqk__bedroom__v26,babel_val_02062_010,walk,00006-HkseAnWCgqk,bedroom,0.0,G0_near_optimal,D_correct_safe_action,0.09836006490186311,0.9800692200660706,0.5650016069412231,False,False,9.91838264465332,9.91838264465332,2,4.537651062011719,4.537651062011719,-135.0,-135.0,"[1, 7]",7,7
